trade_time,nav,cash,position_val,num_positions
2026-03-10 11:15:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-10 11:30:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-10 13:00:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-10 13:15:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-10 13:30:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-10 13:45:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-10 14:00:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-10 14:15:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-10 14:30:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-10 14:45:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-10 15:00:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-11 09:30:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-11 09:45:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-11 10:00:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-11 10:15:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-11 10:30:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-11 10:45:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-11 11:00:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-11 11:15:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-11 11:30:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-11 13:00:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-11 13:15:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-11 13:30:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-11 13:45:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-11 14:00:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-11 14:15:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-11 14:30:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-11 14:45:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-11 15:00:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-12 09:30:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-12 09:45:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-12 10:00:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-12 10:15:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-12 10:30:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-12 10:45:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-12 11:00:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-12 11:15:00,9900.915918999883,9900.915918999883,0.0,0
2026-03-12 11:30:00,9900.915918999883,9900.915918999883,0.0,0
