trade_date,Monthly_DoubleLow_Top10,Monthly_DoubleLow_Top5,511380_CB_ETF_Benchmark
2024-07-18,1.05276509259173,0.9744881800051001,0.9859232175502742
2024-07-19,1.03565738259173,0.9746122100051001,0.986745886654479
2024-07-22,1.0388272125917297,0.9728395800051001,0.9814442413162706
2024-07-23,0.9986670925917299,0.9687740800051001,0.9723948811700183
2024-07-24,1.00246613259173,0.9627147300051001,0.9642595978062157
2024-07-25,0.9992687025917298,0.9628558300051001,0.9636197440585009
2024-07-26,0.9928296925917299,0.9684112800051001,0.9726691042047533
2024-07-29,0.99858235259173,0.9666749600051001,0.9716636197440586
2024-07-30,0.9911651525917299,0.9669000300051002,0.9699268738574042
2024-07-31,0.9890020725917299,0.9712207000051001,0.9830895795246802
2024-08-01,0.9981316099517301,0.9729002901851002,0.9810786106032908
2024-08-02,0.9921805999517301,0.9724339001851002,0.976965265082267
2024-08-05,0.9866231399517301,0.9699449801851002,0.9688299817184645
2024-08-06,0.9885181899517301,0.9703961601851003,0.970292504570384
2024-08-07,0.98748201995173,0.9703713601851003,0.9724862888482633
2024-08-08,0.9863981899517301,0.9709273401851002,0.9715722120658136
2024-08-09,0.9848274699517301,0.9699669101851003,0.9706581352833639
2024-08-12,0.9816572299517301,0.9683531801851002,0.9654478976234003
2024-08-13,0.9814247699517301,0.9677914601851002,0.9638939670932358
2024-08-14,0.9771353999517302,0.9657114001851003,0.9596892138939672
2024-08-15,0.9741069399517301,0.9638966201851003,0.9569469835466179
2024-08-16,0.96394520995173,0.9605304601851002,0.9478062157221206
2024-08-19,0.96717702995173,0.9624914601851002,0.9527422303473492
2024-08-20,0.9603712499517301,0.9600062601851002,0.9436928702010969
2024-08-21,0.9589322699517301,0.9592349601851002,0.9429616087751372
2024-08-22,0.9572623799517301,0.9587896701851003,0.9373857404021939
2024-08-23,0.9590932699517302,0.9603847101851002,0.9395795246800731
2024-08-26,0.9676878499517301,0.9641487101851002,0.9459780621572212
2024-08-27,0.9639229899517301,0.9625166301851003,0.9446983546617918
2024-08-28,0.9669746299517301,0.9628190601851002,0.9440585009140767
2024-08-29,0.9684516799517302,0.9638815501851001,0.9502742230347351
2024-08-30,0.9731312999517301,0.9661649101851003,0.9596892138939672
2024-09-02,0.9623288350717303,0.9598247984951003,0.9519195612431445
2024-09-03,0.96302738507173,0.9607034684951002,0.9523765996343694
2024-09-04,0.9628974650717302,0.9603032884951004,0.9524680073126143
2024-09-05,0.97039753507173,0.9648436984951002,0.959872029250457
2024-09-06,0.96355841507173,0.9609069984951003,0.9553016453382085
2024-09-09,0.95815387507173,0.9572585684951003,0.9489031078610604
2024-09-10,0.9522432450717301,0.9528509084951002,0.946435100548446
2024-09-11,0.9472657650717301,0.9516692684951004,0.9427787934186472
2024-09-12,0.94607762507173,0.9514513884951002,0.9425045703839123
2024-09-13,0.9415777250717301,0.9474520384951002,0.9405850091407678
2024-09-18,0.93512596507173,0.9445565284951003,0.9362888482632542
2024-09-19,0.9411043450717301,0.9476439584951003,0.9429616087751372
2024-09-20,0.9335146450717301,0.9431840384951002,0.9394881170018282
2024-09-23,0.9337146050717301,0.9451675084951003,0.9372943327239488
2024-09-24,0.95911090507173,0.9562762384951001,0.9629798903107861
2024-09-25,0.9723334650717301,0.9638420384951002,0.9630712979890311
2024-09-26,0.9881546050717301,0.9704935384951002,0.9814442413162706
2024-09-27,1.00739089507173,0.9833714384951002,1.0082266910420474
2024-09-30,1.0464317950717301,1.0041324184951002,1.0258683729433273
2024-10-08,1.0895846450717301,1.0298103784951003,1.0393967093235832
2024-10-09,1.0304628450717301,0.9968774984951003,0.9928702010968922
2024-10-10,1.03578628507173,0.9975515284951002,0.9928702010968922
2024-10-11,1.0157082350717301,0.9852453284951003,0.9806215722120658
2024-10-14,1.02849332507173,0.9929119284951002,0.9983546617915906
2024-10-15,1.02525325507173,0.9917397184951002,0.996526508226691
2024-10-16,1.0271837050717303,0.9914843384951002,1.0016453382084096
2024-10-17,1.02717654507173,0.9934633584951001,1.0009140767824498
2024-10-18,1.0253908959230902,0.9930806861259902,1.0124314442413163
2024-10-21,1.0253908959230902,0.9930806861259902,1.0171846435100549
2024-10-22,1.0253908959230902,0.9930806861259902,1.019926873857404
2024-10-23,1.0253908959230902,0.9930806861259902,1.0229433272394883
2024-10-24,1.0253908959230902,0.9930806861259902,1.0120658135283362
2024-10-25,1.0253908959230902,0.9930806861259902,1.0214808043875687
2024-10-28,1.0253908959230902,0.9930806861259902,1.0262340036563071
2024-10-29,1.0253908959230902,0.9930806861259902,1.0178244972577697
2024-10-30,1.0253908959230902,0.9930806861259902,1.0177330895795247
2024-10-31,1.0253908959230902,0.9930806861259902,1.0177330895795247
2024-11-01,1.0253908959230902,0.9930806861259902,1.0159049360146253
2024-11-04,1.0253908959230902,0.9930806861259902,1.0223948811700183
2024-11-05,1.0253908959230902,0.9930806861259902,1.0317184643510056
2024-11-06,1.0253908959230902,0.9930806861259902,1.0309872029250458
2024-11-07,1.0253908959230902,0.9930806861259902,1.0410420475319926
2024-11-08,1.0253908959230902,0.9930806861259902,1.037111517367459
2024-11-11,1.0253908959230902,0.9930806861259902,1.0487202925045704
2024-11-12,1.0253908959230902,0.9930806861259902,1.0448811700182814
2024-11-13,1.0253908959230902,0.9930806861259902,1.0446983546617916
2024-11-14,1.0253908959230902,0.9930806861259902,1.034095063985375
2024-11-15,1.0253908959230902,0.9930806861259902,1.0280621572212065
2024-11-18,1.0253908959230902,0.9930806861259902,1.023948811700183
2024-11-19,1.0253908959230902,0.9930806861259902,1.029890310786106
2024-11-20,1.0253908959230902,0.9930806861259902,1.0353747714808044
2024-11-21,1.0253908959230902,0.9930806861259902,1.036654478976234
2024-11-22,1.0253908959230902,0.9930806861259902,1.0292504570383914
2024-11-25,1.0253908959230902,0.9930806861259902,1.027605118829982
2024-11-26,1.0253908959230902,0.9930806861259902,1.027605118829982
2024-11-27,1.0253908959230902,0.9930806861259902,1.0360146252285192
2024-11-28,1.0253908959230902,0.9930806861259902,1.0364716636197442
2024-11-29,1.0253908959230902,0.9930806861259902,1.0428702010968922
2024-12-02,1.03757885865309,1.0008679670659901,1.0487202925045704
2024-12-03,1.0419051586530903,1.00194668706599,1.04981718464351
2024-12-04,1.0297755186530901,0.9935333670659902,1.0440585009140768
2024-12-05,1.0400400686530902,0.9995512870659902,1.0477148080438756
2024-12-06,1.0512584386530903,1.0042382970659902,1.056946983546618
2024-12-09,1.0527797786530901,1.0042943770659902,1.0577696526508227
2024-12-10,1.0596363786530902,1.0071142570659903,1.0673674588665447
2024-12-11,1.0735187986530903,1.0158752770659902,1.073765996343693
2024-12-12,1.0775783186530903,1.01935036706599,1.0819926873857404
2024-12-13,1.0662260986530905,1.0133506170659903,1.0759597806215724
2024-12-16,1.0522090086530904,1.0054416370659902,1.0656307129798903
2024-12-17,1.0335588986530901,0.9968673170659902,1.059963436928702
2024-12-18,1.03861255865309,1.0000121370659902,1.0632541133455211
2024-12-19,1.0362153186530902,0.9989475970659901,1.0609689213893967
2024-12-20,1.04810898865309,1.0044496870659902,1.0662705667276051
2024-12-23,1.0296923386530903,0.9946703770659902,1.0609689213893967
2024-12-24,1.03348170865309,0.9964924570659902,1.0650822669104205
2024-12-25,1.02310583865309,0.9910837370659902,1.062705667276051
2024-12-26,1.0273998786530902,0.9914112970659902,1.0648994515539305
2024-12-27,1.0367189586530903,0.9951933370659902,1.0677330895795247
2024-12-30,1.0423127386530902,0.9978803570659901,1.0662705667276051
2024-12-31,1.03423620865309,0.9908914670659902,1.0582266910420475
2025-01-02,1.0261741486530902,0.9859566570659901,1.05
2025-01-03,1.0152087286530902,0.9833114670659902,1.0489945155393054
2025-01-06,1.0094970186530903,0.9772627470659903,1.046800731261426
2025-01-07,1.0237771086530902,0.9848619670659902,1.056581352833638
2025-01-08,1.0211712886530901,0.9832072070659902,1.0552102376599635
2025-01-09,1.0239735586530903,0.9849891170659901,1.056581352833638
2025-01-10,1.0189079086530903,0.9840219570659902,1.053290676416819
2025-01-13,1.0203562986530903,0.9851267870659901,1.053016453382084
2025-01-14,1.04004705865309,0.9994571870659902,1.0649908592321755
2025-01-15,1.0405164286530901,0.9993583170659902,1.0663619744058501
2025-01-16,1.0372531186530902,0.9963099870659903,1.064076782449726
2025-01-17,1.04476203865309,1.0015809870659902,1.0696526508226691
2025-01-20,1.05285033865309,1.00633565706599,1.073491773308958
2025-01-21,1.04875625865309,1.0052178270659902,1.0761425959780622
2025-01-22,1.04653634795309,1.0032833525959903,1.0744972577696528
2025-01-23,1.0477461879530903,1.00537122259599,1.0757769652650824
