stk_code,stk_name,pub_date,title,pdf_url,effective_date,prev_conv_price,new_conv_price
002598,ST章鼓,20260427,关于董事会提议向下修正章鼓转债转股价格的公告,http://static.cninfo.com.cn/finalpage/2026-04-28/1225203213.PDF,20260428,,10.35
002598,ST章鼓,20260520,关于向下修正“章鼓转债”转股价格的公告,http://static.cninfo.com.cn/finalpage/2026-05-21/1225320827.PDF,20260520,,10.15
002598,ST章鼓,20260702,关于“章鼓转债”转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-07-03/1225405747.PDF,20260703,8.4,8.3
002605,姚记科技,20250526,关于可转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-05-27/1223682908.PDF,20250527,,20.6
002605,姚记科技,20260107,关于可转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-01-08/1224922758.PDF,20260108,,20.08
002605,姚记科技,20260603,关于可转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-06-04/1225349951.PDF,20260604,,20.06
002614,奥佳华,20250522,关于可转换公司债券转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-05-23/1223634895.PDF,20250523,9.45,9.35
002616,长青集团,20250917,关于长集转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-09-18/1224666768.PDF,20250918,,5.15
002626,金达威,20260603,关于可转换公司债券转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-06-04/1225349123.PDF,20260604,,19.59
002698,博实股份,20250611,关于博实转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-06-12/1223847090.PDF,20250612,,15.31
002698,博实股份,20260629,关于博实转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-06-30/1225394691.PDF,20260630,,15.06
002726,龙大美食,20260211,关于向下修正“龙大转债”转股价格的公告,http://static.cninfo.com.cn/finalpage/2026-02-12/1224977471.PDF,20260211,,9.3
002726,ST龙大,20260506,关于董事会提议向下修正“龙大转债”转股价格的公告,http://static.cninfo.com.cn/finalpage/2026-05-07/1225280233.PDF,20260507,,4.2
002726,ST龙大,20260605,关于董事会提议向下修正“龙大转债”转股价格的公告,http://static.cninfo.com.cn/finalpage/2026-06-06/1225355872.PDF,20260606,,4.2
002726,ST龙大,20260624,关于向下修正“龙大转债”转股价格的公告,http://static.cninfo.com.cn/finalpage/2026-06-25/1225386489.PDF,20260712,,4.2
002734,利民股份,20250521,公司关于可转换公司债券转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-05-22/1223628677.PDF,20250522,8.35,8.1
002753,永东股份,20250609,关于可转换公司债券转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-06-10/1223826779.PDF,20250616,,8.49
002753,永东股份,20251221,关于“永东转2“转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-12-22/1224887758.PDF,20251222,,8.34
002753,永东股份,20260529,关于可转换公司债券转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-05-30/1225340016.PDF,20260605,,8.16
002761,浙江建投,20250710,浙江省建设投资集团股份有限公司关于可转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-07-11/1224131595.PDF,20250711,,10.96
002761,浙江建投,20260123,浙江省建设投资集团股份有限公司关于可转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-01-24/1224948346.PDF,20260124,,10.91
002761,浙江建投,20260710,浙江省建设投资集团股份有限公司关于可转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-07-11/1225420032.PDF,20260711,,10.22
002775,文科股份,20260426,关于董事会提议向下修正文科转债转股价格的公告,http://static.cninfo.com.cn/finalpage/2026-04-27/1225190172.PDF,20260427,,3.98
002775,文科股份,20260518,关于向下修正文科转债转股价格的公告,http://static.cninfo.com.cn/finalpage/2026-05-19/1225314770.PDF,20260519,,4.42
002809,红墙股份,20250611,关于红墙转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-06-12/1223847885.PDF,20250612,,10.44
002810,山东赫达,20250910,关于可转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-09-11/1224649877.PDF,20250911,,16.75
002810,山东赫达,20251208,关于回购注销完成可转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-12-09/1224859387.PDF,20251209,,16.76
002810,山东赫达,20260707,关于可转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-07-08/1225413987.PDF,20260708,,16.56
002810,山东赫达,20260727,关于回购注销完成可转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-07-28/1225443617.PDF,20260728,,16.61
002833,弘亚数控,20250606,关于可转换公司债券转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-06-07/1223803068.PDF,20250607,,17.7
002833,弘亚数控,20251013,关于可转换公司债券转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-10-14/1224708482.PDF,20251014,,17.3
002833,弘亚数控,20260519,关于可转换公司债券转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-05-20/1225316665.PDF,20260520,,17.0
002891,中宠股份,20250526,关于中宠转2转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-05-27/1223684462.PDF,20250527,,27.66
002891,中宠股份,20250807,关于中宠转2转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-08-08/1224426207.PDF,20250808,,27.46
002918,蒙娜丽莎,20250618,关于可转换公司债券转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-06-19/1223910247.PDF,20250619,,19.8
002918,蒙娜丽莎,20250912,关于可转换公司债券转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-09-13/1224656183.PDF,20250913,19.8,19.8
002918,蒙娜丽莎,20260610,关于可转换公司债券转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-06-11/1225363148.PDF,20260611,,19.76
002930,宏川智慧,20250617,关于“宏川转债”转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-06-18/1223900800.PDF,20250618,,18.76
002930,宏川智慧,20260206,关于向下修正“宏川转债”转股价格的公告,http://static.cninfo.com.cn/finalpage/2026-02-07/1224971681.PDF,20260207,,19.92
002937,兴瑞科技,20250522,关于可转换公司债券转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-05-23/1223633823.PDF,20250523,,25.9
002937,兴瑞科技,20250922,关于可转换公司债券转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-09-23/1224675560.PDF,20250923,25.6,25.6
002937,兴瑞科技,20260519,关于可转换公司债券转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-05-20/1225317987.PDF,20260520,25.5,25.5
002941,新疆交建,20250617,关于交建转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-06-18/1223900917.pdf,20250618,,10.15
002946,新乳业,20250619,关于新乳转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-06-20/1223934298.PDF,20250620,,18.2
002946,新乳业,20260107,关于新乳转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-01-08/1224923197.PDF,20260108,,17.95
002946,新乳业,20260601,关于新乳转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-06-02/1225343726.PDF,20260602,,17.88
002949,华阳国际,20250520,关于“华阳转债”转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-05-21/1223606848.PDF,20250521,,18.39
002949,华阳国际,20260520,关于华阳转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-05-21/1225321692.PDF,20260521,,14.39
002959,小熊电器,20260424,关于董事会提议向下修正小熊转债转股价格的公告,http://static.cninfo.com.cn/finalpage/2026-04-25/1225194015.PDF,20260425,54.44,54.41
002959,小熊电器,20260511,关于向下修正小熊转债转股价格的公告,http://static.cninfo.com.cn/finalpage/2026-05-12/1225292834.PDF,20260511,54.44,54.41
002969,嘉美包装,20250921,关于嘉美转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-09-22/1224670735.PDF,20250922,4.57,4.55
002973,侨银股份,20260303,关于董事会提议向下修正侨银转债转股价格的公告,http://static.cninfo.com.cn/finalpage/2026-03-04/1224994243.PDF,20260303,,15.215
002973,侨银股份,20260319,关于向下修正侨银转债转股价格的公告,http://static.cninfo.com.cn/finalpage/2026-03-20/1225019704.PDF,20260320,,17.9
002973,侨银股份,20260701,关于董事会提议向下修正侨银转债转股价格的公告,http://static.cninfo.com.cn/finalpage/2026-07-02/1225403643.PDF,20260701,,12.444
002973,侨银股份,20260719,关于向下修正侨银转债转股价格的公告,http://static.cninfo.com.cn/finalpage/2026-07-20/1225430662.PDF,20260720,,14.54
002982,湘佳股份,20260706,关于董事会提议向下修正湘佳转债转股价格的公告,http://static.cninfo.com.cn/finalpage/2026-07-07/1225410716.PDF,20260707,,42.56
002982,湘佳股份,20260723,关于向下修正湘佳转债转股价格的公告,http://static.cninfo.com.cn/finalpage/2026-07-24/1225439542.PDF,20260723,,21.03
002984,森麒麟,20260529,关于董事会提议向下修正可转换公司债券转股价格的公告,http://static.cninfo.com.cn/finalpage/2026-05-30/1225337842.PDF,20260529,,34.85
